vault_address,vault_symbol,vault_name,asset_address,asset_symbol,asset_name,total_aum_usd_m,event_count
0x67315dd969b8cd3a3520c245837bf71f54579c75,llama-crvUSD,LlamaRisk crvUSD Vault,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,Curve.Fi USD Stablecoin,0,119
0xff467c6e827ebbea64da1ab0425021e6c89fbe0d,cvcrvUSD,Curve Vault for crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,Curve.Fi USD Stablecoin,0,118
0xdd0f28e19c1780eb6396170735d45153d261490d,gtUSDC,Gauntlet USDC Prime,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,110
0x503e0bab6acdae73ea7fb7cf6ae5792014dbe935,yvAjnaWETH,Yearn-Ajna WETH Vault,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,108
0x8fb1c7aedcbbc1222325c39dd5c1d2d23420cae3,cvcrvUSD,Curve Vault for crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,crvUSD,Curve.Fi USD Stablecoin,0,106
0xcf1110bca74890eae1aad534ec3a03f16956ebeb,K-PT-rswETH-27JUN2024,Karak - PT rswETH 27JUN2024,0x5cb12D56F5346a016DBBA8CA90635d82e6D1bcEa,PT-rswETH-27JUN2024,PT rswETH 27JUN2024,0,105
0x99a53fab6fbd1eacb59ae998da2dbf130be94c38,pop-BAL-20WETH-80VCX,Popcorn Balancer 20 WETH 80 VCX Vault,0x577A7f7EE659Aa14Dc16FD384B3F8078E23F1920,BAL-20WETH-80VCX,Balancer 20 WETH 80 VCX,0,102
0x7bdd71e46d602916c065b027028df686a27d5cb2,vcAu-BAL-20WETH-80VCX,VaultCraft Aura Balancer 20 WETH 80 VCX Adapter,0x577A7f7EE659Aa14Dc16FD384B3F8078E23F1920,BAL-20WETH-80VCX,Balancer 20 WETH 80 VCX,0,102
0x6557e7f2d3a0ecb3468b5601a8e1b6c0cd6e910d,K-PT-rsETH-27JUN2024,Karak - PT Kelp rsETH 27JUN2024,0xB05cABCd99cf9a73b19805edefC5f67CA5d1895E,PT-rsETH-27JUN2024,PT Kelp rsETH 27JUN2024,0,101
0x125d41a6e5dbf455cd9df8f80bcc6fd172d52cc6,gtUSDAcore,Gauntlet USDA Core,0x0000206329b97DB379d5E1Bf586BbDB969C63274,USDA,USDA,0,100
0xc56413869c6cdf96496f2b1ef801fedbdfa7ddb0,yvWETH-1,WETH-1 yVault,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,98
0x8659fc767cad6005de79af65dafe4249c57927af,uCVX,Union Pirex,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,pxCVX,Pirex CVX,0,96
0x4ca0e178c94f039d7f202e09d8d1a655ed3fb6b6,USDC RWA,LeadBlock USDC RWA,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,0,96
0xc7372ab5dd315606db799246e8aa112405abaeff,TurboSTETH2,Turbo stETH (stETH Deposit),0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,stETH,Liquid staked Ether 2.0,0,94
0x06824c27c8a0dbde5f72f770ec82e3c0fd4dcec3,amphrLRT,Amphor Symbiotic LRT (WSTETH),0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,0,93
0x3808708e761b988d23ae011ed0e12674fb66bd62,svXAI,SideShift SideShift Token Vault,0x35e78b3982E87ecfD5b3f3265B601c046cDBe232,XAI,SideShift Token,0,93
0xbeef050ecd6a16c4e7bffbb52ebba7846c4b8cd4,steakETH,Steakhouse ETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,92
0x004626a008b1acdc4c74ab51644093b155e59a23,stEUR,Staked EURA,0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8,EURA,EURA (previously agEUR),0,90
0x128e72dfd8b00cbf9d12cb75e846ac87b83ddfc9,yG-yvDAI-1,yGauge DAI-1 yVault,0x028eC7330ff87667b6dfb0D94b954c820195336c,yvDAI-1,DAI-1 yVault,0,86
0xb5b29320d2dde5ba5bafa1ebcd270052070483ec,YieldETH,Real Yield ETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,86
0xfa35d1f603384e8fcfcbff3e610935d02922544e,apxBTRFLY,Autocompounding pxBTRFLY,0x10978Db3885bA79Bf1Bc823E108085FB88e6F02f,pxBTRFLY,Pirex BTRFLY,0,86
0xede905b2732ffcb73b95f5facb2a0f241b30bd50,swpWETH,Swaap WETH Fund,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,0,85
0xe1a3864dbf62fb94834b108ff6bf439ce70183ac,vXDEFI,vXDEFI,0x72B886d09C117654aB7dA13A14d603001dE0B777,XDEFI,XDEFI,0,85
0x11aae8bee9b1da827c641540d20e4e664677e06f,yvyPRISMA-1,yPRISMA-1 yVault,0xe3668873D944E4A949DA05fc8bDE419eFF543882,yPRISMA,Yearn PRISMA,0,85
